username,comment,time,labeling,kategori
@_goshop24,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",22-Dec-20,0,Not Bully
@jannahfamily1111,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",22-Dec-20,1,Bully Ringan
@fannyyyyk,"""Semua wanita cantik, jangan suka merasa lebih ah""",22-Dec-20,0,Not Bully
@taniaaw123,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",22-Dec-20,1,Bully Ringan
@juniartibs,"""Gila Netizen pada sempurna ngehina orang terus""",22-Dec-20,0,Not Bully
@zulfaqinan,"""Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik""",22-Dec-20,1,Bully Ringan
@dona_pitria,"""Karena muka kayak elo pasaran dan murah…""",22-Dec-20,1,Bully Ringan
@nia_5446,"""Muka buluk kepedean lagi.. muka udah tua""",22-Dec-20,1,Bully Ringan
@tita.titt,"""Muka lu kayak tai hahaha""",22-Dec-20,1,Bully Fatal
@harishshandi,"""Sakit jiwa ini upil gajah… Kasihan""",22-Dec-20,1,Bully Ringan
@sila.putri.526,"""Jelek macam buntut kuali hahaha""",22-Dec-20,1,Bully Ringan
@lasi1977,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…""",22-Dec-20,0,Not Bully
@anisa_lubis12,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",31-Dec-20,0,Not Bully
@maryamcici29,"""Mbak mell sehat dan sukses ya""",31-Dec-20,0,Not Bully
@misscahyani,"""Aamiin. Doa baik juga untuk Meldi""",31-Dec-20,0,Not Bully
@vito_adn07,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",31-Dec-20,0,Not Bully
@prelovedbabyzee_,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",31-Dec-20,0,Not Bully
@tkp995,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",18-Dec-20,1,Bully Ringan
@andipulau123,"""Nggak ada cantik-cantik nya hahaha""",18-Dec-20,1,Bully Ringan
@pmonaapr,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",18-Dec-20,1,Bully Ringan
@dongo20200,"""Lama lama mirip dewi persik ya""",18-Dec-20,0,Not Bully
@arini.3367,"""pada julid padahal kan meldi gak nyusahin kalian""",18-Dec-20,0,Not Bully
@yunhistia,"""ini foto apa gw masukin museum aja ya ga ada pantas2nya""",18-Dec-20,1,Bully Fatal
@adityazuko,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",18-Dec-20,1,Bully Ringan
@drian_riza,"""Lagu lu ga ada yang laku ya mel??""",18-Dec-20,1,Bully Ringan
@dsusilawa,"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",18-Dec-20,1,Bully Ringan
@agustindian276,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",18-Dec-20,0,Not Bully
@rosameldiantifansclub,"""Tambah cantik aja rosa meldianti""",18-Dec-20,0,Not Bully
@teukualmunawir,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",18-Dec-20,1,Bully Ringan
@choyrohnissaakbar,"""Saya kok suka ya sama mereka harmonis""",13-Dec-20,0,Not Bully
@riska_wn27,"""Cantik banget kalau pakai baju kayak gitu""",13-Dec-20,0,Not Bully
@fan_fani001,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",13-Dec-20,0,Not Bully
@satriakiranadwi,"""Cowoknya ga ada cakep cakepnya""",13-Dec-20,1,Bully Ringan
@rubybee_16,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",13-Dec-20,1,Bully Ringan
@mokarin_a,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",11-Dec-20,0,Not Bully
@rubybee_16,"""Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang""",11-Dec-20,1,Bully Ringan
@pendekar_payunghitam,"""Itu muka kayak penuh tekanan banget""",11-Dec-20,1,Bully Ringan
@macankonner_streetfighter,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",11-Dec-20,1,Bully Ringan
@yulimaya89,"""Masyaallah cantik terlihat sopan dan anggun""",11-Dec-20,0,Not Bully
@mywibowo,"""Kang ojek kali belang tangannya""",11-Dec-20,1,Bully Ringan
@juniartibs,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",11-Dec-20,0,Not Bully
@santosodimas23,"""Dia memutuskan menjadi tumbal apartment""",11-Dec-20,1,Bully Ringan
@thirsthing,"""makin cantik mel, semangat dietnyaa""",11-Dec-20,0,Not Bully
@fitrysyakieb,"""Itu tangan apa paha haha….""",11-Dec-20,1,Bully Ringan
@mamggala,"""Mel disini kamu keliatan cakep""",11-Dec-20,0,Not Bully
@ajengrahayu80,"""Mukanya kayak lagi ngeden pas boker""",11-Dec-20,1,Bully Ringan
@biankarachel,"""Aduuh.. terlalu halu.. hahahaha lebay editan nyaa lemak kemana lemak… hahaha.. mimpi ketinggian..""",7-Dec-20,1,Bully Ringan
@moca_caca_,"""salfok sama kaki, tapi cantik banget asli""",7-Dec-20,0,Not Bully
@ajengrahayu80,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…""",7-Dec-20,1,Bully Ringan
@sufiliams,"""atas bawah hitam putih, kek kopi luwak""",7-Dec-20,1,Bully Ringan
@kikysisilyaa,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",7-Dec-20,1,Bully Ringan
@taniaaw123,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",7-Dec-20,1,Bully Ringan
@bunda_jannah,"""heran sama netizen kalo gk suka jangan diliat aja""",7-Dec-20,0,Not Bully
@sanainahpurnamasari,"""sukses selalu yah ka @rosameldianti_ semangat""",7-Dec-20,0,Not Bully
@rereresty94,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",7-Dec-20,0,Not Bully
@santi_azkadinasakhi,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",7-Dec-20,1,Bully Ringan
@cece_rossalien,"""Berkarya teros meldi walaupun ga ada yg nuntun kamu.""",7-Dec-20,0,Not Bully
@wats_yor_namber,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",30-Nov-20,1,Bully Ringan
@choyrohnissaakbar,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",30-Nov-20,0,Not Bully
@rubybee_16,"""Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..""",30-Nov-20,1,Bully Ringan
@fita_farah,"""Matanya kayak katarak anjir AHAHAH""",30-Nov-20,1,Bully Ringan
@amandanna30,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",30-Nov-20,1,Bully Ringan
@julypit_,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",30-Nov-20,0,Not Bully
@hamzahifidafadafa,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",30-Nov-20,0,Not Bully
@kikysisilyaa,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu hahaha""",30-Nov-20,1,Bully Ringan
@neng_fitri_masraina,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",30-Nov-20,1,Bully Ringan
@evaelvaninda,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",30-Nov-20,0,Not Bully
@bilqistiarais,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?""",30-Nov-20,1,Bully Ringan
@kevin_mara88,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",10-Jan-21,0,Not Bully
@sidrarachman,"""Beda sama di foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",10-Jan-21,1,Bully Ringan
@innetrii,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",10-Jan-21,0,Not Bully
@indrilestari091197,"""Lupa di edit ya tu muka melar""",10-Jan-21,1,Bully Ringan
@luvmeltedcheese,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",10-Jan-21,0,Not Bully
@macorask,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",10-Jan-21,0,Not Bully
@vellan_qerry_xeynando,"""Hiiihhh jijik lihat nih orang… auranya buruk bgt gak ada manis manisnya""",10-Jan-21,1,Bully Ringan
@fimauni,"""Semangat untuk belajar ya… saya juga gak bisa bahasa inggris""",10-Jan-21,0,Not Bully
@lie_3071,"""Yang penting ada niat.. dan keberanian""",10-Jan-21,0,Not Bully
@momski_sri,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",10-Jan-21,0,Not Bully
@yoan_gunarto22,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",10-Jan-21,0,Not Bully
@qoriah7588,"""Setidaknya dia ngaku. bukan belagak pintar""",10-Jan-21,0,Not Bully
@apelu.liat2,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",10-Jan-21,1,Bully Ringan
@tiara_amd,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",29-Nov-20,0,Not Bully
@pikoochar,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",29-Nov-20,0,Not Bully
@dwitrynurvita,"""Happy Birthday kak Meldi yang imut dan ngegemesin. Tambah sukses selalu""",29-Nov-20,0,Not Bully
@goldyfonda,"""Ya ampun ketiak dan lemaknya editan parah haha""",29-Nov-20,1,Bully Ringan
@wina_lim0922,"""Ketiaknya habis di amplas mel, halus banget""",29-Nov-20,1,Bully Ringan
@kimoratwindy,"""Udah diedit gitu, ketiak lu tetap hitam""",29-Nov-20,1,Bully Ringan
@zamaleling,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",29-Nov-20,0,Not Bully
@jualconversesecond24,"""Mukanya kuning banget kaya kunyit""",29-Nov-20,1,Bully Ringan
@harhexa,"""Selamat ulang tahun meldi sukses dan sehat terus ya….""",29-Nov-20,0,Not Bully
@rika_chuby,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",29-Nov-20,0,Not Bully
@raffa_wahyu_abadi88,"""HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",29-Nov-20,0,Not Bully
@idcwhouareee,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",29-Nov-20,1,Bully Ringan
@_simaistia25bu,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",29-Nov-20,0,Not Bully
@pipidz888,"""Hbd cantik semoga kedepannya tambah sukses""",29-Nov-20,0,Not Bully
@niken_mutiara_sary,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",29-Nov-20,0,Not Bully
@oliviacheecerezta,"""berdiri di kaki sendiri lebih baik""",29-Nov-20,0,Not Bully
@_syakilaadinan_,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",29-Nov-20,1,Bully Ringan
@ulfahh_zakiya,"""Sumpah demi apapun.. Lengan nya gede banget""",29-Nov-20,1,Bully Ringan
@ummu.valen,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",29-Nov-20,1,Bully Ringan
@dicka_1991,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",29-Nov-20,1,Bully Ringan
@ridho52517,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",29-Nov-20,1,Bully Ringan
@indah_zahin,"""Gak ada bagus2nya suara dan polanya….""",29-Nov-20,1,Bully Ringan
@ginaiswahyuningsih,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante dan sepupunya yang udah jelas2 cantik""",29-Nov-20,1,Bully Ringan
@sasqiaraz,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",29-Nov-20,0,Not Bully
@darkangel025_,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",29-Nov-20,1,Bully Ringan
@biankarachel,"""Aduh dugong masih aja gila filter….""",29-Nov-20,1,Bully Ringan
@zaskiaaaa97,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",29-Nov-20,1,Bully Ringan
@awanpanas125,"""Kasian kebelet artis tapi gak punya bakat""",29-Nov-20,1,Bully Ringan
@hugoovianaaa,"""Yang merasa peliharaannya lepas, tolong diangkut""",29-Nov-20,1,Bully Ringan
@christinaona5,"""Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless you mel""",29-Nov-20,0,Not Bully
@lunaaluna91,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",29-Nov-20,1,Bully Ringan
@putri_lintang0,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",29-Nov-20,1,Bully Fatal
@ananda_dhenanda,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebully tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",29-Nov-20,0,Not Bully
@forthriftpurpose,"""Gua berharap lu aja si yg sakit bukan laura lol""",8-Aug-20,1,Bully Ringan
@lailyfazriah,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",8-Aug-20,1,Bully Ringan
@masihadanamanya,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",8-Aug-20,1,Bully Ringan
@nandaanvta_,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",8-Aug-20,1,Bully Ringan
@ptriazkytlf,"""Si gaga kok kek anjing""",8-Aug-20,1,Bully Fatal
@dandipriambodo,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",8-Aug-20,0,Not Bully
@fauziahamanda_02,"""Gak ada cantiknya. Gila yang ada""",13-Jan-21,1,Bully Ringan
@rezaadhitia_,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",13-Jan-21,0,Not Bully
@anq.olshop,"""Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..""",13-Jan-21,0,Not Bully
@maya_purple14,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",13-Jan-21,1,Bully Ringan
@hannyjamal33,"""kumat… lama semedinya segini keluarnya""",13-Jan-21,1,Bully Ringan
@zulfaqinan,"""Tangannya hitam… beda ama muka""",13-Jan-21,1,Bully Ringan
@sabil.naura.2,"""Kok meldi di foto aku gendut beda""",13-Jan-21,1,Bully Ringan
@adiknya_wwatch.ig,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",13-Jan-21,1,Bully Ringan
@dewie_ten11,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",13-Jan-21,0,Not Bully
@louizee_fa,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",13-Jan-21,1,Bully Ringan
@hendrik_baronn,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",5-May-20,1,Bully Ringan
@adellaberrr,"""Lo kira lo bagus tuh begitu anjing haha""",5-May-20,1,Bully Fatal
@ha_ri2431,"""Di maafin aaa… semoga dia jera untuk kedepannya…""",5-May-20,0,Not Bully
@kicek_kocak,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",5-May-20,1,Bully Ringan
@azzamyluth6802,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",5-May-20,0,Not Bully
@louis.edrt,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",5-May-20,0,Not Bully
@fran_oez11,"""Lu Mati ajalah . Udah biar gak bikin ribet""",5-May-20,1,Bully Ringan
@setiawan_jo22,"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",5-May-20,1,Bully Ringan
@iibaaall,"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",5-May-20,1,Bully Fatal
@setyawan_yoyok,"""youtuber toxic, tutup akunmu sekalian tutup usia""",5-May-20,1,Bully Ringan
@gunawan_fahreza,"""Pada ribet kayak udah pada benar aja lu semua""",5-May-20,0,Not Bully
@zr_cho,"""Jangan ada hitam diatas putih. Langsung proses""",5-May-20,0,Not Bully
@farhanaja_,"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",5-May-20,0,Not Bully
@lastriani05,"""Manusia apa hewan sih kok gak punya hati banget""",5-May-20,1,Bully Ringan
@adhiprasetyop,"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue entar gue gaji lo.""",5-May-20,1,Bully Fatal
@arief_metafora_,"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",5-May-20,1,Bully Ringan
@mr_mantako,"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",5-May-20,1,Bully Fatal
@erikkansona,"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",22-May-20,1,Bully Fatal
@bagusssrh,"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",22-May-20,1,Bully Fatal
@ibnufasha_16,"""ANJING SINI LO BAKU HANTAM AYO""",22-May-20,1,Bully Fatal
@zibah25,"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",28-Jun-20,0,Not Bully
@adeellristi13_,"""Jangan patah semangat kak sukses terus""",28-Jun-20,0,Not Bully
@onlyone_dhii,"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",28-Jun-20,0,Not Bully
@zanuri111,"""Sumpah sekarang aku respect banget sama kamu""",28-Jun-20,0,Not Bully
@jannah.henna,"""Menurutku pribadi, dia tulus minta maafnya….""",28-Jun-20,0,Not Bully
@26cc.l,"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",20-Mar-20,1,Bully Ringan
@lidiii.lyy16,"""hilang respect gue.. padahal jane udah setia bgt sama lu, tapi lu nya main cewe pas udah keluar dari penjara.. lol""",20-Mar-20,0,Not Bully
@frdriko_,"""Hapus ajah ni poto nggak tau malu bgt lu bang""",20-Mar-20,0,Not Bully
@izgraphic,"""Intinya gasuka ajg selama ada listy . Ngerusak suasana""",20-Mar-20,1,Bully Fatal
@agrapranaaaaaa,"""Di foto ini ada 2 anjing dan 1 kontol""",20-Mar-20,1,Bully Fatal
@bilqissiee,"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",20-Mar-20,0,Not Bully
@candrwijya,"""Punya cewek baik di selingkuhin ga ngotak""",20-Mar-20,1,Bully Ringan
@yusuf_rafi20,"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",20-Mar-20,1,Bully Ringan
@shinlamanepa,"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",20-Mar-20,0,Not Bully
@ajilpoo_,"""Tiap mau makan dibikin ama jess tpi malah ngekhianatin gila sih""",20-Mar-20,0,Not Bully
@frdriko_,"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajah teruss""",20-Mar-20,0,Not Bully
@guardo_purbaa,"""Ini anjing Kok mirip ya sama Erick""",20-Mar-20,1,Bully Fatal
@_ilhammputra,"""Muka Pas""an sok sok an mau sm lonte lo anjing""",20-Mar-20,1,Bully Fatal
@keylanamira01,"""Lu sama anjingnya, lebih baik anjingnya""",20-Mar-20,1,Bully Fatal
